Frick,an,—,50,53,57,57,57,57,57,57,57,57,57,57,56,56,56,56,56,56,56,56,54,—,49n
Frick,ab,—,50,53,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,55,—,50n
Stein-Säckingen,an,—,55,59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,56n
Stein-Säckingen,ab,—,56,59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,57n
Möhlin,an,—,2,6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Möhlin,ab,—,3,6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Rheinfelden,an,—,6,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,—,—,—,5i
Rheinfelden,ab,—,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,—,—,—,6i
Pratteln,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5,—
Pratteln,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6,—
Basel SBB,an,—,19,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,20,18,14,20i
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Basel SBB,ab,—,12,7,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,14,14,14,53,54i
Rheinfelden,an,—,24,21,24,24,24,24,24,25,25,24,24,24,24,24,24,24,24,24,25,25,25,3,—
Rheinfelden,ab,—,24,21,25,25,25,25,25,26,26,25,25,25,25,25,25,25,25,25,26,26,26,4,—
Möhlin,an,—,27,25,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Möhlin,ab,—,28,26,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Stein-Säckingen,an,—,34,33,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,33,34,34,34,—,—
Stein-Säckingen,ab,—,35,34,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,35,35,35,—,—
Frick,an,—,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,17,—
Frick,ab,—,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,18,—
Brugg AG,an,—,56,56,57,57,57,57,57,58,58,58,58,57,57,57,57,57,57,57,58,58,58,33,31n
Brugg AG,ab,—,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32n
Baden,an,—,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,42,41n
Baden,ab,—,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,43,42n
Zürich Altstetten,an,—,15,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Altstetten,ab,—,16,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich HB,an,—,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,57n
Zürich HB,ab,—,27,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,10,7i
Thalwil,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,20,17i
Thalwil,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,21,18i
Wädenswil,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31,26i
Wädenswil,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,32,27i
Pfäffikon SZ,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,39,36i
Pfäffikon SZ,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,41,37i
Ziegelbrücke,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,56,51i
Ziegelbrücke,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,58,53i
Sargans,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,19,14n
Sargans,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,20,16n
Bad Ragaz,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,25,20n
Bad Ragaz,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26,21n
Landquart,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,32,27n
Landquart,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,34,29n
Chur,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,44,38n
Zürich Wipkingen,an,—,30,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Wipkingen,ab,—,30,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Oerlikon,an,—,34,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Oerlikon,ab,—,35,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,an,—,39,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,ab,—,40,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bassersdorf,an,—,44,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bassersdorf,ab,—,44,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Effretikon,an,—,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Effretikon,ab,—,50,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kemptthal,an,—,53,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kemptthal,ab,—,53,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,an,—,58,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Andelfingen,an,—,9,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Andelfingen,ab,—,9,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,an,—,21,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,ab,—,22,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Schaffhausen,an,—,26,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Schaffhausen,ab,—,34,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,an,—,37,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Neuhausen,ab,—,37,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Andelfingen,an,—,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Andelfingen,ab,—,50,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,an,—,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kemptthal,an,—,6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Kemptthal,ab,—,6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Effretikon,an,—,10,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Effretikon,ab,—,11,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bassersdorf,an,—,15,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bassersdorf,ab,—,15,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,an,—,19,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,ab,—,20,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Oerlikon,an,—,24,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Oerlikon,ab,—,25,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Wipkingen,an,—,27,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Wipkingen,ab,—,27,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Chur,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,16,16i
Landquart,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,25,25i
Landquart,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,27,27i
Bad Ragaz,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,32,32i
Bad Ragaz,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,33,33i
Sargans,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,38,38i
Sargans,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,40,40i
Ziegelbrücke,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,0n
Ziegelbrücke,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,2n
Pfäffikon SZ,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,17,16n
Pfäffikon SZ,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,19,17n
Wädenswil,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,27,25n
Wädenswil,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,28,26n
Thalwil,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,38,35n
Thalwil,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,39,36n
Zürich HB,an,—,33,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,50,47n
Zürich HB,ab,—,38,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,0,57n
Zürich Altstetten,an,—,43,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Altstetten,ab,—,44,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Baden,an,—,54,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,15,11i
Baden,ab,—,56,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,16,12i
Brugg AG,an,—,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21i
Brugg AG,ab,—,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,22i
Frick,an,—,20,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,40,—
Frick,ab,—,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,41,—
Stein-Säckingen,an,—,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,—,—
Stein-Säckingen,ab,—,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,—,—
Möhlin,an,—,32,32,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Möhlin,ab,—,33,33,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Rheinfelden,an,—,36,37,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,53,—
Rheinfelden,ab,—,37,37,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,54,—
Basel SBB,an,—,49,52,48,48,48,48,48,47,47,47,47,47,47,47,47,47,47,47,47,48,48,8,0n
IR 37,an/ab,Y,2035,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014 Q3/4,2014 Q1/2,2013,2012,2011,2009,2008,2005,2002,Y
Basel SBB,ab,—,49,43,43,43,43,43,43,43,43,47,47,47,47,47,47,47,47,47,47,22,22,20,—
Liestal,an,—,57,53,53,53,53,53,53,53,53,56,56,56,56,56,56,56,56,56,55,30,30,28,—
Liestal,ab,—,58,53,54,54,54,54,54,54,54,57,57,57,57,57,57,57,57,57,56,31,31,29,—
Sissach,an,—,3,0,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,2,37,36,—,—
Sissach,ab,—,4,0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,38,38,—,—
Gelterkinden,an,—,7,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Gelterkinden,ab,—,8,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Aarau,an,—,25,21,20,20,20,20,20,21,21,22,22,22,22,22,22,22,22,22,22,55,56,51,—
Aarau,ab,—,28,23,23,23,23,23,23,23,23,24,24,24,23,23,23,23,23,23,23,57,58,52,—
Lenzburg,an,—,33,29,29,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,3,4,58,—
Lenzburg,ab,—,34,31,31,31,30,30,30,31,31,31,31,31,30,30,30,30,30,30,30,4,6,0,—
Zürich HB,an,—,54,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,26,30,20,—
Zürich HB,ab,—,—,—,—,—,—,—,—,—,—,9,9,9,—,—,—,12,12,12,12,37,37,—,—
Thalwil,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,21,21,21,21,—,—,—,—
Thalwil,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,22,22,22,22,—,—,—,—
Wädenswil,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31,31,31,31,—,—,—,—
Wädenswil,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,32,32,32,32,—,—,—,—
Pfäffikon SZ,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,39,39,39,39,—,—,—,—
Pfäffikon SZ,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,41,41,41,41,—,—,—,—
Ziegelbrücke,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,57,57,57,57,—,—,—,—
Ziegelbrücke,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,59,59,59,59,—,—,—,—
Sargans,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,19,19,19,19,32,—,—,—
Sargans,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,21,21,21,21,33,—,—,—
Bad Ragaz,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26,26,26,26,—,—,—,—
Bad Ragaz,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,27,27,27,27,—,—,—,—
Landquart,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,32,32,32,32,41,39Q,—,—
Landquart,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,34,34,34,34,43,41,—,—
Chur,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,43,43,43,43,52,50,—,—
Zürich Flughafen,an,—,—,—,—,—,—,—,—,—,—,19,19,19,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,ab,—,—,—,—,—,—,—,—,—,—,21,21,21,—,—,—,—,—,—,—,—,—,—,—
Winterthur,an,—,—,—,—,—,—,—,—,—,—,35,35,35,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,—,—,—,—,—,—,—,—,—,37,37,37,—,—,—,—,—,—,—,—,—,—,—
Wil SG,an,—,—,—,—,—,—,—,—,—,—,54,54,54,—,—,—,—,—,—,—,—,—,—,—
Wil SG,ab,—,—,—,—,—,—,—,—,—,—,55,55,55,—,—,—,—,—,—,—,—,—,—,—
Gossau SG,an,—,—,—,—,—,—,—,—,—,—,10,10,10,—,—,—,—,—,—,—,—,—,—,—
Gossau SG,ab,—,—,—,—,—,—,—,—,—,—,10,10,10,—,—,—,—,—,—,—,—,—,—,—
St. Gallen,an,—,—,—,—,—,—,—,—,—,—,18,18,18,—,—,—,—,—,—,—,—,—,—,—
St. Gallen,ab,—,—,—,—,—,—,—,—,—,—,42,42,42,—,—,—,—,—,—,—,—,—,—,—
Gossau SG,an,—,—,—,—,—,—,—,—,—,—,50,50,50,—,—,—,—,—,—,—,—,—,—,—
Gossau SG,ab,—,—,—,—,—,—,—,—,—,—,50,50,50,—,—,—,—,—,—,—,—,—,—,—
Wil SG,an,—,—,—,—,—,—,—,—,—,—,6,6,6,—,—,—,—,—,—,—,—,—,—,—
Wil SG,ab,—,—,—,—,—,—,—,—,—,—,8,8,8,—,—,—,—,—,—,—,—,—,—,—
Winterthur,an,—,—,—,—,—,—,—,—,—,—,26,26,26,—,—,—,—,—,—,—,—,—,—,—
Winterthur,ab,—,—,—,—,—,—,—,—,—,—,28,28,28,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,an,—,—,—,—,—,—,—,—,—,—,41,41,41,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,ab,—,—,—,—,—,—,—,—,—,—,43,43,43,—,—,—,—,—,—,—,—,—,—,—
Chur,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,16,16,16,16,9,10,—,—
Landquart,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,24,24,24,24,17,19,—,—
Landquart,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26,26,26,26,19,21,—,—
Bad Ragaz,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,31,31,31,31,—,—,—,—
Bad Ragaz,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,32,32,32,32,—,—,—,—
Sargans,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,37,37,37,37,27,—,—,—
Sargans,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,39,39,39,39,28,—,—,—
Ziegelbrücke,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,59,59,59,59,—,—,—,—
Ziegelbrücke,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,1,1,1,—,—,—,—
Pfäffikon SZ,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,17,17,17,17,—,—,—,—
Pfäffikon SZ,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,19,19,19,19,—,—,—,—
Wädenswil,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,27,27,27,27,—,—,—,—
Wädenswil,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,28,28,28,28,—,—,—,—
Thalwil,an,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,37,37,37,37,—,—,—,—
Thalwil,ab,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,38,38,38,38,—,—,—,—
Zürich HB,an,—,—,—,—,—,—,—,—,—,—,53,53,53,—,—,—,48,48,48,47,23,23Q,—,—
Zürich HB,ab,—,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,34,34,37,—
Lenzburg,an,—,25,27,27,27,28,28,28,27,27,27,27,27,27,27,27,27,27,27,28,54,53,57,—
Lenzburg,ab,—,26,29,29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28,29,55,55,58,—
Aarau,an,—,32,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,1,1,4,—
Aarau,ab,—,36,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,36,36,37,3,3,5,—
Gelterkinden,an,—,52,53,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Gelterkinden,ab,—,53,53,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sissach,an,—,56,57,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,20,20,—,—
Sissach,ab,—,57,57,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,21,21,—,—
Liestal,an,—,2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,27,27,26,—
Liestal,ab,—,3,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,28,28,27,—
Basel SBB,an,—,12,16,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,38,38,37,—
split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
Basel SBB,ab,—,19,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Liestal,an,—,27,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Liestal,ab,—,28,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sissach,an,—,33,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sissach,ab,—,34,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Gelterkinden,an,—,37,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Gelterkinden,ab,—,38,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Aarau,an,—,55,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Aarau,ab,—,58,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lenzburg,an,—,3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lenzburg,ab,—,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich HB,an,—,24,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich HB,ab,—,36,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lenzburg,an,—,55,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lenzburg,ab,—,56,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Aarau,an,—,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Aarau,ab,—,6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Gelterkinden,an,—,22,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Gelterkinden,ab,—,23,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sissach,an,—,26,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sissach,ab,—,27,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Liestal,an,—,32,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Liestal,ab,—,33,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Basel SBB,an,—,42,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
RE 33,an/ab,Y,Y,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014 Q3/4,2014 Q1/2,2013,Y,Y,Y,Y,Y,Y,Y
Annemasse,ab,—,—,12,12,55,57,57,57,57,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Chêne-Bourg,an,—,—,16,16,59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Chêne-Bourg,ab,—,—,17,17,59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Genève-Eaux-Vives,an,—,—,20,20,2,4,4,4,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Genève-Eaux-Vives,ab,—,—,21,21,3,5,5,5,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Genève-Champel,an,—,—,23,23,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Genève-Champel,ab,—,—,24,24,6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lancy-Bachet,an,—,—,27,27,9,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lancy-Bachet,ab,—,—,28,28,10,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lancy-Pont-Rouge,an,—,—,30,30,12,11,11,11,11,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lancy-Pont-Rouge,ab,—,—,31,31,12,12,12,12,12,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Genève,an,—,—,36,36,17,17,17,17,19,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Genève,ab,—,—,38,38,20,20,20,20,20,19,19,19,19,21,21,21,21,—,—,—,—,—,—,—
Coppet,an,—,—,48,48,29,29,29,29,29,28,28,28,28,30,30,30,30,—,—,—,—,—,—,—
Coppet,ab,—,—,49,49,30,30,30,30,30,29,29,29,29,31,31,31,31,—,—,—,—,—,—,—
Nyon,an,—,—,54,54,35,35,35,35,35,34,34,34,34,36,36,36,36,—,—,—,—,—,—,—
Nyon,ab,—,—,55,55,36,36,36,36,36,35,35,35,35,37,37,37,37,—,—,—,—,—,—,—
Gland,an,—,—,59,59,40,40,40,40,40,39,39,39,39,41,41,41,41,—,—,—,—,—,—,—
Gland,ab,—,—,59,59,40,40,40,40,40,39,39,39,39,41,41,41,41,—,—,—,—,—,—,—
Rolle,an,—,—,4,4,44,44,44,44,44,44,44,44,44,46,46,46,46,—,—,—,—,—,—,—
Rolle,ab,—,—,5,4,44,44,44,44,44,44,44,44,44,46,46,46,46,—,—,—,—,—,—,—
Allaman,an,—,—,9,9,48,48,48,48,48,48,48,48,48,50,50,50,50,—,—,—,—,—,—,—
Allaman,ab,—,—,10,10,49,49,49,49,49,49,49,49,49,51,51,51,51,—,—,—,—,—,—,—
Morges,an,—,—,15,16,54,54,54,54,54,55,55,55,55,57,57,57,57,—,—,—,—,—,—,—
Morges,ab,—,—,16,16,55,55,55,55,55,56,56,56,56,58,58,58,58,—,—,—,—,—,—,—
